"Date","Price","Open","High","Low","Vol.","Change %"
"12/01/2023","1.2638","1.2631","1.2657","1.2630","","0.13%"
"11/30/2023","1.2622","1.2697","1.2711","1.2602","","-0.57%"
"11/29/2023","1.2694","1.2698","1.2735","1.2664","","0.01%"
"11/28/2023","1.2693","1.2628","1.2716","1.2606","","0.54%"
"11/27/2023","1.2625","1.2595","1.2646","1.2590","","0.17%"
"11/24/2023","1.2603","1.2532","1.2617","1.2523","","0.56%"
"11/23/2023","1.2533","1.2491","1.2564","1.2487","","0.33%"
"11/22/2023","1.2492","1.2539","1.2551","1.2448","","-0.36%"
"11/21/2023","1.2537","1.2507","1.2561","1.2499","","0.26%"
"11/20/2023","1.2504","1.2456","1.2519","1.2445","","0.35%"
"11/17/2023","1.2461","1.2415","1.2466","1.2373","","0.44%"
"11/16/2023","1.2406","1.2416","1.2457","1.2375","","-0.10%"
"11/15/2023","1.2418","1.2500","1.2502","1.2403","","-0.63%"
"11/14/2023","1.2497","1.2279","1.2507","1.2263","","1.78%"
"11/13/2023","1.2278","1.2219","1.2282","1.2212","","0.46%"
"11/10/2023","1.2222","1.2224","1.2239","1.2186","","0.01%"
"11/09/2023","1.2221","1.2285","1.2310","1.2212","","-0.50%"
"11/08/2023","1.2282","1.2299","1.2306","1.2240","","-0.14%"
"11/07/2023","1.2299","1.2344","1.2352","1.2261","","-0.34%"
"11/06/2023","1.2341","1.2371","1.2430","1.2337","","-0.28%"
"11/03/2023","1.2376","1.2199","1.2391","1.2183","","1.43%"
"11/02/2023","1.2201","1.2152","1.2227","1.2137","","0.42%"
"11/01/2023","1.2150","1.2155","1.2166","1.2095","","-0.02%"
"10/31/2023","1.2152","1.2170","1.2202","1.2119","","-0.13%"
"10/30/2023","1.2168","1.2118","1.2176","1.2090","","0.38%"
"10/27/2023","1.2122","1.2128","1.2163","1.2105","","-0.03%"
"10/26/2023","1.2126","1.2113","1.2141","1.2069","","0.15%"
"10/25/2023","1.2108","1.2166","1.2177","1.2106","","-0.42%"
"10/24/2023","1.2159","1.2248","1.2290","1.2153","","-0.73%"
"10/23/2023","1.2248","1.2160","1.2260","1.2142","","0.72%"
"10/20/2023","1.2160","1.2144","1.2172","1.2092","","0.14%"
"10/19/2023","1.2143","1.2141","1.2192","1.2090","","0.02%"
"10/18/2023","1.2140","1.2183","1.2213","1.2136","","-0.31%"
"10/17/2023","1.2178","1.2218","1.2219","1.2133","","-0.31%"
"10/16/2023","1.2216","1.2138","1.2220","1.2134","","0.62%"
"10/13/2023","1.2141","1.2183","1.2227","1.2121","","-0.26%"
"10/12/2023","1.2173","1.2313","1.2333","1.2171","","-1.12%"
"10/11/2023","1.2311","1.2286","1.2339","1.2268","","0.21%"
"10/10/2023","1.2285","1.2239","1.2293","1.2211","","0.40%"
"10/09/2023","1.2236","1.2227","1.2245","1.2162","","-0.02%"
"10/06/2023","1.2238","1.2192","1.2263","1.2105","","0.39%"
"10/05/2023","1.2190","1.2136","1.2197","1.2107","","0.51%"
"10/04/2023","1.2128","1.2074","1.2178","1.2036","","0.44%"
"10/03/2023","1.2075","1.2092","1.2103","1.2052","","-0.09%"
"10/02/2023","1.2086","1.2201","1.2221","1.2086","","-0.91%"
"09/29/2023","1.2197","1.2200","1.2273","1.2179","","0.00%"
"09/28/2023","1.2197","1.2135","1.2226","1.2119","","0.52%"
"09/27/2023","1.2134","1.2169","1.2169","1.2110","","-0.19%"
"09/26/2023","1.2157","1.2209","1.2217","1.2151","","-0.44%"
"09/25/2023","1.2211","1.2246","1.2251","1.2193","","-0.22%"
"09/22/2023","1.2238","1.2301","1.2301","1.2230","","-0.46%"
"09/21/2023","1.2294","1.2349","1.2356","1.2236","","-0.41%"
"09/20/2023","1.2344","1.2392","1.2422","1.2332","","-0.37%"
"09/19/2023","1.2390","1.2385","1.2426","1.2370","","0.06%"
"09/18/2023","1.2382","1.2385","1.2412","1.2370","","-0.06%"
"09/15/2023","1.2389","1.2410","1.2447","1.2378","","-0.16%"
"09/14/2023","1.2409","1.2486","1.2507","1.2395","","-0.63%"
"09/13/2023","1.2488","1.2486","1.2513","1.2434","","0.03%"
"09/12/2023","1.2484","1.2508","1.2532","1.2458","","-0.20%"
"09/11/2023","1.2509","1.2483","1.2549","1.2471","","0.36%"
"09/08/2023","1.2464","1.2474","1.2515","1.2450","","-0.07%"
"09/07/2023","1.2473","1.2507","1.2511","1.2445","","-0.26%"
"09/06/2023","1.2505","1.2565","1.2589","1.2482","","-0.46%"
"09/05/2023","1.2563","1.2621","1.2632","1.2528","","-0.46%"
"09/04/2023","1.2621","1.2588","1.2644","1.2584","","0.26%"
"09/01/2023","1.2588","1.2674","1.2714","1.2577","","-0.67%"
"08/31/2023","1.2673","1.2721","1.2736","1.2651","","-0.35%"
"08/30/2023","1.2718","1.2644","1.2747","1.2618","","0.63%"
"08/29/2023","1.2638","1.2604","1.2656","1.2562","","0.28%"
"08/28/2023","1.2603","1.2578","1.2612","1.2565","","0.21%"
"08/25/2023","1.2577","1.2601","1.2655","1.2548","","-0.17%"
"08/24/2023","1.2599","1.2731","1.2731","1.2591","","-1.00%"
"08/23/2023","1.2726","1.2733","1.2766","1.2615","","-0.03%"
"08/22/2023","1.2730","1.2757","1.2802","1.2717","","-0.19%"
"08/21/2023","1.2754","1.2733","1.2767","1.2709","","0.19%"
"08/18/2023","1.2730","1.2745","1.2767","1.2688","","-0.12%"
"08/17/2023","1.2745","1.2729","1.2788","1.2702","","0.14%"
"08/16/2023","1.2727","1.2707","1.2768","1.2687","","0.19%"
"08/15/2023","1.2703","1.2690","1.2753","1.2674","","0.18%"
"08/14/2023","1.2680","1.2688","1.2716","1.2615","","-0.11%"
"08/11/2023","1.2694","1.2678","1.2740","1.2665","","0.15%"
"08/10/2023","1.2675","1.2718","1.2819","1.2669","","-0.34%"
"08/09/2023","1.2718","1.2746","1.2783","1.2711","","-0.22%"
"08/08/2023","1.2746","1.2785","1.2788","1.2684","","-0.30%"
"08/07/2023","1.2784","1.2753","1.2790","1.2713","","0.28%"
"08/04/2023","1.2748","1.2714","1.2794","1.2688","","0.28%"
"08/03/2023","1.2713","1.2711","1.2729","1.2622","","0.03%"
"08/02/2023","1.2709","1.2777","1.2807","1.2680","","-0.53%"
"08/01/2023","1.2777","1.2838","1.2843","1.2740","","-0.47%"
"07/31/2023","1.2837","1.2849","1.2874","1.2828","","-0.10%"
"07/28/2023","1.2850","1.2797","1.2888","1.2763","","0.45%"
"07/27/2023","1.2793","1.2939","1.2997","1.2781","","-1.13%"
"07/26/2023","1.2939","1.2898","1.2961","1.2875","","0.30%"
"07/25/2023","1.2900","1.2829","1.2905","1.2809","","0.53%"
"07/24/2023","1.2832","1.2859","1.2885","1.2797","","-0.18%"
"07/21/2023","1.2855","1.2867","1.2905","1.2816","","-0.08%"
"07/20/2023","1.2865","1.2938","1.2966","1.2839","","-0.56%"
"07/19/2023","1.2937","1.3042","1.3046","1.2868","","-0.74%"
"07/18/2023","1.3034","1.3078","1.3127","1.3028","","-0.28%"
"07/17/2023","1.3071","1.3088","1.3110","1.3051","","-0.11%"
"07/14/2023","1.3086","1.3132","1.3146","1.3087","","-0.36%"
"07/13/2023","1.3133","1.2984","1.3141","1.2981","","1.13%"
"07/12/2023","1.2986","1.2932","1.3002","1.2903","","0.42%"
"07/11/2023","1.2932","1.2857","1.2936","1.2854","","0.57%"
"07/10/2023","1.2859","1.2835","1.2869","1.2750","","0.18%"
"07/07/2023","1.2836","1.2737","1.2851","1.2725","","0.75%"
"07/06/2023","1.2740","1.2698","1.2782","1.2673","","0.28%"
"07/05/2023","1.2704","1.2713","1.2737","1.2687","","-0.06%"
"07/04/2023","1.2712","1.2694","1.2740","1.2682","","0.17%"
"07/03/2023","1.2691","1.2687","1.2725","1.2658","","-0.10%"
"06/30/2023","1.2704","1.2619","1.2729","1.2599","","0.73%"
"06/29/2023","1.2612","1.2635","1.2667","1.2591","","-0.22%"
"06/28/2023","1.2640","1.2753","1.2754","1.2607","","-0.83%"
"06/27/2023","1.2746","1.2716","1.2761","1.2702","","0.27%"
"06/26/2023","1.2712","1.2711","1.2750","1.2687","","0.01%"
"06/23/2023","1.2711","1.2743","1.2756","1.2686","","-0.27%"
"06/22/2023","1.2746","1.2771","1.2839","1.2724","","-0.18%"
"06/21/2023","1.2769","1.2764","1.2803","1.2691","","0.06%"
"06/20/2023","1.2761","1.2792","1.2808","1.2714","","-0.23%"
"06/19/2023","1.2790","1.2819","1.2838","1.2770","","-0.21%"
"06/16/2023","1.2817","1.2781","1.2850","1.2767","","0.28%"
"06/15/2023","1.2781","1.2666","1.2787","1.2629","","0.95%"
"06/14/2023","1.2661","1.2612","1.2700","1.2601","","0.39%"
"06/13/2023","1.2612","1.2505","1.2626","1.2500","","0.81%"
"06/12/2023","1.2511","1.2572","1.2601","1.2486","","-0.46%"
"06/09/2023","1.2569","1.2557","1.2592","1.2534","","0.13%"
"06/08/2023","1.2553","1.2436","1.2563","1.2433","","0.96%"
"06/07/2023","1.2434","1.2427","1.2501","1.2394","","0.08%"
"06/06/2023","1.2424","1.2431","1.2460","1.2391","","-0.10%"
"06/05/2023","1.2437","1.2458","1.2458","1.2368","","-0.09%"
"06/02/2023","1.2448","1.2527","1.2545","1.2441","","-0.61%"
"06/01/2023","1.2525","1.2440","1.2541","1.2400","","0.71%"
"05/31/2023","1.2437","1.2415","1.2445","1.2347","","0.19%"
"05/30/2023","1.2413","1.2354","1.2448","1.2327","","0.50%"
"05/29/2023","1.2351","1.2344","1.2373","1.2335","","0.06%"
"05/26/2023","1.2343","1.2325","1.2397","1.2311","","0.18%"
"05/25/2023","1.2321","1.2364","1.2388","1.2307","","-0.35%"
"05/24/2023","1.2364","1.2414","1.2471","1.2357","","-0.37%"
"05/23/2023","1.2410","1.2440","1.2448","1.2372","","-0.22%"
"05/22/2023","1.2437","1.2449","1.2473","1.2414","","-0.06%"
"05/19/2023","1.2444","1.2409","1.2485","1.2392","","0.29%"
"05/18/2023","1.2408","1.2488","1.2494","1.2391","","-0.62%"
"05/17/2023","1.2486","1.2489","1.2512","1.2421","","0.01%"
"05/16/2023","1.2485","1.2523","1.2548","1.2465","","-0.34%"
"05/15/2023","1.2527","1.2456","1.2536","1.2443","","0.56%"
"05/12/2023","1.2457","1.2514","1.2542","1.2444","","-0.42%"
"05/11/2023","1.2509","1.2625","1.2642","1.2496","","-0.91%"
"05/10/2023","1.2624","1.2621","1.2680","1.2601","","0.04%"
"05/09/2023","1.2619","1.2618","1.2641","1.2578","","0.02%"
"05/08/2023","1.2617","1.2641","1.2670","1.2613","","-0.19%"
"05/05/2023","1.2641","1.2571","1.2653","1.2559","","0.55%"
"05/04/2023","1.2572","1.2556","1.2600","1.2548","","0.06%"
"05/03/2023","1.2564","1.2463","1.2591","1.2463","","0.80%"
"05/02/2023","1.2464","1.2497","1.2514","1.2435","","-0.26%"
"05/01/2023","1.2496","1.2566","1.2572","1.2479","","-0.60%"
"04/28/2023","1.2572","1.2498","1.2585","1.2445","","0.68%"
"04/27/2023","1.2487","1.2466","1.2501","1.2436","","0.16%"
"04/26/2023","1.2467","1.2408","1.2516","1.2402","","0.48%"
"04/25/2023","1.2408","1.2480","1.2508","1.2386","","-0.59%"
"04/24/2023","1.2482","1.2439","1.2487","1.2409","","0.42%"
"04/21/2023","1.2430","1.2435","1.2449","1.2366","","-0.10%"
"04/20/2023","1.2443","1.2443","1.2469","1.2405","","0.04%"
"04/19/2023","1.2438","1.2428","1.2476","1.2392","","0.11%"
"04/18/2023","1.2424","1.2373","1.2450","1.2368","","0.40%"
"04/17/2023","1.2374","1.2414","1.2440","1.2352","","-0.31%"
"04/14/2023","1.2413","1.2525","1.2548","1.2399","","-0.85%"
"04/13/2023","1.2520","1.2485","1.2538","1.2478","","0.31%"
"04/12/2023","1.2481","1.2426","1.2496","1.2398","","0.46%"
"04/11/2023","1.2424","1.2383","1.2457","1.2379","","0.35%"
"04/10/2023","1.2381","1.2423","1.2444","1.2344","","-0.26%"
"04/07/2023","1.2413","1.2441","1.2457","1.2390","","-0.21%"
"04/06/2023","1.2439","1.2462","1.2490","1.2412","","-0.14%"
"04/05/2023","1.2457","1.2502","1.2515","1.2433","","-0.34%"
"04/04/2023","1.2499","1.2415","1.2527","1.2394","","0.71%"
"04/03/2023","1.2411","1.2329","1.2424","1.2274","","0.63%"
"03/31/2023","1.2333","1.2385","1.2424","1.2325","","-0.40%"
"03/30/2023","1.2383","1.2313","1.2394","1.2293","","0.58%"
"03/29/2023","1.2311","1.2343","1.2363","1.2303","","-0.24%"
"03/28/2023","1.2340","1.2284","1.2350","1.2280","","0.46%"
"03/27/2023","1.2284","1.2229","1.2295","1.2218","","0.44%"
"03/24/2023","1.2230","1.2290","1.2294","1.2190","","-0.45%"
"03/23/2023","1.2285","1.2268","1.2344","1.2261","","0.17%"
