volume_summary,Date,candle_LZ
2022-12-01_neg,2022-12-01,-155293.14254541244
2022-12-01_pos,2022-12-01,116771.19049853976
2022-12-01_zero,2022-12-01,0.0
2022-12-02_neg,2022-12-02,-45315.35446409987
2022-12-02_pos,2022-12-02,498311.9723109386
2022-12-02_zero,2022-12-02,0.0
2022-12-03_neg,2022-12-03,-5322.940551667426
2022-12-03_pos,2022-12-03,3165.5029715983633
2022-12-03_zero,2022-12-03,0.0
2022-12-04_neg,2022-12-04,-1.901829946621666
2022-12-04_pos,2022-12-04,12.731849952717655
2022-12-04_zero,2022-12-04,0.0
2022-12-05_neg,2022-12-05,-117981.47033111833
2022-12-05_pos,2022-12-05,146376.67787410665
2022-12-05_zero,2022-12-05,0.0
2022-12-06_neg,2022-12-06,-107135.96084607365
2022-12-06_pos,2022-12-06,59412.55330197931
2022-12-06_zero,2022-12-06,0.0
2022-12-07_neg,2022-12-07,-128413.40889009916
2022-12-07_pos,2022-12-07,65354.692743183085
2022-12-07_zero,2022-12-07,0.0
2022-12-08_neg,2022-12-08,-170389.29074520819
2022-12-08_pos,2022-12-08,104475.11168871773
2022-12-08_zero,2022-12-08,0.0
2022-12-09_neg,2022-12-09,-18022.868137336918
2022-12-09_pos,2022-12-09,174110.99709715464
2022-12-09_zero,2022-12-09,0.0
2022-12-10_neg,2022-12-10,-4390.762217423549
2022-12-10_pos,2022-12-10,3006.449112447076
2022-12-10_zero,2022-12-10,0.0
2022-12-11_neg,2022-12-11,-100012.38848963077
2022-12-11_pos,2022-12-11,8.165782043358364
2022-12-11_zero,2022-12-11,0.0
2022-12-12_neg,2022-12-12,-193077.42551418146
2022-12-12_pos,2022-12-12,45580.970744278326
2022-12-12_zero,2022-12-12,0.0
2022-12-13_neg,2022-12-13,-833537.3312298442
2022-12-13_pos,2022-12-13,145791.33869465426
2022-12-13_zero,2022-12-13,0.0
2022-12-14_neg,2022-12-14,-269644.30390533153
2022-12-14_pos,2022-12-14,48984.949503737625
2022-12-14_zero,2022-12-14,0.0
2022-12-15_neg,2022-12-15,-213236.10815767077
2022-12-15_pos,2022-12-15,51506.57234220744
2022-12-15_zero,2022-12-15,0.0
2022-12-16_neg,2022-12-16,-113874.716537234
2022-12-16_pos,2022-12-16,104442.51570190195
2022-12-16_zero,2022-12-16,0.0
2022-12-17_neg,2022-12-17,-2302.330276807866
2022-12-17_pos,2022-12-17,6463.97556535848
2022-12-17_zero,2022-12-17,0.0
2022-12-18_neg,2022-12-18,-11.330611266713527
2022-12-18_pos,2022-12-18,0.8456850605698741
2022-12-18_zero,2022-12-18,0.0
2022-12-19_neg,2022-12-19,-40102.53055125363
2022-12-19_pos,2022-12-19,25955.128534046664
2022-12-19_zero,2022-12-19,0.0
2022-12-20_neg,2022-12-20,-49717.15418708423
2022-12-20_pos,2022-12-20,69119.71753613511
2022-12-20_zero,2022-12-20,0.0
2022-12-21_neg,2022-12-21,-62754.53564042556
2022-12-21_pos,2022-12-21,35409.706100734315
2022-12-21_zero,2022-12-21,0.0
2022-12-22_neg,2022-12-22,-160928.9936601434
2022-12-22_pos,2022-12-22,36744.06440808736
2022-12-22_zero,2022-12-22,0.0
2022-12-23_neg,2022-12-23,-20310.615787879124
2022-12-23_pos,2022-12-23,50846.55369983749
2022-12-23_zero,2022-12-23,0.0
2022-12-24_neg,2022-12-24,-1232.4396880007082
2022-12-24_pos,2022-12-24,1310.013457722219
2022-12-25_zero,2022-12-25,0.0
2022-12-26_pos,2022-12-26,12032.052361829152
2022-12-26_zero,2022-12-26,0.0
2022-12-27_neg,2022-12-27,-31165.908343305386
2022-12-27_pos,2022-12-27,71701.17317432238
2022-12-27_zero,2022-12-27,0.0
2022-12-28_neg,2022-12-28,-88469.49350192439
2022-12-28_pos,2022-12-28,21677.7621352488
2022-12-28_zero,2022-12-28,0.0
2022-12-29_neg,2022-12-29,-105792.46383903538
2022-12-29_pos,2022-12-29,14196.536228632156
2022-12-29_zero,2022-12-29,0.0
2022-12-30_neg,2022-12-30,-107448.27232650098
2022-12-30_pos,2022-12-30,151370.7245101585
2022-12-30_zero,2022-12-30,0.0
2022-12-31_pos,2022-12-31,4388.178541514202
2022-12-31_zero,2022-12-31,0.0
2023-01-01_zero,2023-01-01,0.0
2023-01-02_neg,2023-01-02,-22053.612880636767
2023-01-02_pos,2023-01-02,466.0611916311933
2023-01-02_zero,2023-01-02,0.0
2023-01-03_neg,2023-01-03,-276762.86925302044
2023-01-03_pos,2023-01-03,485836.53703989007
2023-01-03_zero,2023-01-03,0.0
2023-01-04_neg,2023-01-04,-156418.6006999863
2023-01-04_pos,2023-01-04,76594.25487814001
2023-01-04_zero,2023-01-04,0.0
2023-01-05_neg,2023-01-05,-379612.39801146166
2023-01-05_pos,2023-01-05,369298.902306852
2023-01-05_zero,2023-01-05,0.0
2023-01-06_neg,2023-01-06,-306558.62179552193
2023-01-06_pos,2023-01-06,508261.664864577
2023-01-06_zero,2023-01-06,0.0
2023-01-07_neg,2023-01-07,-3642.2696496745634
2023-01-07_pos,2023-01-07,2421.894592041955
2023-01-08_neg,2023-01-08,-9332.762824154628
