<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
221201;001500;1.0407200;1.0409000;1.0396500;1.0404800;37376
221201;003000;1.0404700;1.0406600;1.0400900;1.0405500;13960
221201;004500;1.0405500;1.0408200;1.0398400;1.0405400;12246
221201;010000;1.0405400;1.0409000;1.0401800;1.0404100;11199
221201;011500;1.0404100;1.0407000;1.0398100;1.0401500;4568
221201;013000;1.0401500;1.0408000;1.0398900;1.0407900;9327
221201;014500;1.0407000;1.0408500;1.0402700;1.0407100;6503
221201;020000;1.0406200;1.0410500;1.0401700;1.0407000;10654
221201;021500;1.0408100;1.0419200;1.0407000;1.0417500;14783
221201;023000;1.0417400;1.0419500;1.0408000;1.0412300;15916
221201;024500;1.0412000;1.0430200;1.0409800;1.0425300;20085
221201;030000;1.0426100;1.0427300;1.0420300;1.0423200;18816
221201;031500;1.0423000;1.0430100;1.0419200;1.0426500;30258
221201;033000;1.0426700;1.0432500;1.0422400;1.0428500;25287
221201;034500;1.0428900;1.0432900;1.0424000;1.0432000;16958
221201;040000;1.0432100;1.0439400;1.0427800;1.0437600;29005
221201;041500;1.0437300;1.0447700;1.0432500;1.0440700;38075
221201;043000;1.0441100;1.0441700;1.0426100;1.0432000;29937
221201;044500;1.0433400;1.0435400;1.0421800;1.0425800;28887
221201;050000;1.0426100;1.0432200;1.0423000;1.0425900;35716
221201;051500;1.0426100;1.0426300;1.0417700;1.0420600;27853
221201;053000;1.0420700;1.0429200;1.0416200;1.0428700;24180
221201;054500;1.0428700;1.0430800;1.0421500;1.0424300;26665
221201;060000;1.0424300;1.0428400;1.0420500;1.0426200;21174
221201;061500;1.0426000;1.0430000;1.0420500;1.0424200;20030
221201;063000;1.0424200;1.0430400;1.0421600;1.0424800;19815
221201;064500;1.0424600;1.0432900;1.0422300;1.0429000;18777
221201;070000;1.0429900;1.0432500;1.0425100;1.0431700;17067
221201;071500;1.0431400;1.0431700;1.0423600;1.0428900;16435
221201;073000;1.0428700;1.0434000;1.0426000;1.0432000;13209
221201;074500;1.0432900;1.0441200;1.0429700;1.0439200;15869
221201;080000;1.0440100;1.0442500;1.0434000;1.0438000;13569
221201;081500;1.0439200;1.0444200;1.0435500;1.0443700;16214
221201;083000;1.0444000;1.0448300;1.0439800;1.0443600;31490
221201;084500;1.0443600;1.0451400;1.0440200;1.0449200;26890
221201;090000;1.0450100;1.0450400;1.0438100;1.0445300;22469
221201;091500;1.0445800;1.0447100;1.0439100;1.0443100;24314
221201;093000;1.0442000;1.0445600;1.0438200;1.0441800;21388
221201;094500;1.0442100;1.0451800;1.0438600;1.0449000;18790
221201;100000;1.0448600;1.0456600;1.0445100;1.0456000;23554
221201;101500;1.0455000;1.0459200;1.0442300;1.0447200;39696
221201;103000;1.0447000;1.0463900;1.0444300;1.0448500;41414
221201;104500;1.0448700;1.0449800;1.0432600;1.0436700;38108
221201;110000;1.0436600;1.0442800;1.0392000;1.0402800;79189
221201;111500;1.0403400;1.0424200;1.0390600;1.0423900;78821
221201;113000;1.0423000;1.0427800;1.0400900;1.0410400;54603
221201;114500;1.0410800;1.0432000;1.0408800;1.0429900;47981
221201;120000;1.0430200;1.0446500;1.0424700;1.0444100;46452
221201;121500;1.0443000;1.0447200;1.0424600;1.0436000;42705
221201;123000;1.0435200;1.0444800;1.0431100;1.0439800;35523
221201;124500;1.0439900;1.0440800;1.0426500;1.0435300;41480
221201;130000;1.0435300;1.0442500;1.0429600;1.0440900;36592
221201;131500;1.0441300;1.0449800;1.0435200;1.0445900;34703
221201;133000;1.0445900;1.0449200;1.0438500;1.0442400;31574
221201;134500;1.0442600;1.0443200;1.0425100;1.0427800;32237
221201;140000;1.0427800;1.0438500;1.0415600;1.0420000;35003
221201;141500;1.0420100;1.0431100;1.0415000;1.0429000;35355
221201;143000;1.0428900;1.0434500;1.0422700;1.0433600;26702
221201;144500;1.0434300;1.0440600;1.0431400;1.0436700;28473
221201;150000;1.0437100;1.0437900;1.0426100;1.0437100;27049
221201;151500;1.0437400;1.0449800;1.0435000;1.0441000;32081
221201;153000;1.0440900;1.0449900;1.0433600;1.0448000;27908
221201;154500;1.0449100;1.0453900;1.0443700;1.0450200;33810
221201;160000;1.0450300;1.0454800;1.0441800;1.0443000;40436
221201;161500;1.0444700;1.0454600;1.0432000;1.0453500;40389
221201;163000;1.0453900;1.0476100;1.0448100;1.0469500;43168
221201;164500;1.0470300;1.0513800;1.0457000;1.0497500;97184
221201;170000;1.0498000;1.0505500;1.0478000;1.0489100;76971
221201;171500;1.0489400;1.0506300;1.0482600;1.0505200;60925
221201;173000;1.0505200;1.0509000;1.0492500;1.0505000;46745
221201;174500;1.0505100;1.0517300;1.0498200;1.0509600;63717
221201;180000;1.0509700;1.0529100;1.0508500;1.0521200;68980
221201;181500;1.0521900;1.0534100;1.0498000;1.0507800;103245
221201;183000;1.0507100;1.0509500;1.0482000;1.0491900;94994
221201;184500;1.0491500;1.0499200;1.0479500;1.0494600;79399
221201;190000;1.0494100;1.0507300;1.0469400;1.0486700;99611
221201;191500;1.0486800;1.0497500;1.0479500;1.0494600;59433
221201;193000;1.0495000;1.0502300;1.0485900;1.0490300;45904
221201;194500;1.0490700;1.0508800;1.0488200;1.0504700;60221
221201;200000;1.0504500;1.0506900;1.0490200;1.0497100;51562
221201;201500;1.0496000;1.0497500;1.0467200;1.0474200;46628
221201;203000;1.0474100;1.0500400;1.0467300;1.0498900;50326
221201;204500;1.0499100;1.0509200;1.0496500;1.0503700;42680
221201;210000;1.0503700;1.0512700;1.0501200;1.0507200;46110
221201;211500;1.0507400;1.0519300;1.0504600;1.0514400;39523
221201;213000;1.0514500;1.0515300;1.0501800;1.0507600;40412
221201;214500;1.0507600;1.0512400;1.0502600;1.0510800;34966
221201;220000;1.0510000;1.0514200;1.0500300;1.0507800;29596
221201;221500;1.0507800;1.0509600;1.0494300;1.0506800;35781
221201;223000;1.0507000;1.0512800;1.0503600;1.0506500;33949
221201;224500;1.0506400;1.0513800;1.0501300;1.0509700;28478
221201;230000;1.0510400;1.0520200;1.0507800;1.0518300;32490
221201;231500;1.0518500;1.0520700;1.0509500;1.0512400;29951
221201;233000;1.0512000;1.0518600;1.0509500;1.0517400;24567
221201;234500;1.0516600;1.0530100;1.0514600;1.0529900;23480
221202;000000;1.0529300;1.0530300;1.0521600;1.0524100;28887
221202;001500;1.0523900;1.0525800;1.0519900;1.0524400;14774
221202;003000;1.0524500;1.0525300;1.0519400;1.0523800;12443
221202;004500;1.0523700;1.0526400;1.0521200;1.0525000;9488
221202;010000;1.0525400;1.0529300;1.0521600;1.0525700;11178
221202;011500;1.0525800;1.0525800;1.0515600;1.0519300;1179
221202;013000;1.0521500;1.0525000;1.0517600;1.0523000;15294
221202;014500;1.0523600;1.0525700;1.0521400;1.0522000;5550
221202;020000;1.0523300;1.0525500;1.0518200;1.0520200;5110
221202;021500;1.0521600;1.0538300;1.0518000;1.0537500;11593
221202;023000;1.0537300;1.0539600;1.0527900;1.0532200;18187
221202;024500;1.0533000;1.0533600;1.0522600;1.0525200;12723
221202;030000;1.0525500;1.0529000;1.0522400;1.0528000;11012
221202;031500;1.0527500;1.0528000;1.0517700;1.0520400;19458
221202;033000;1.0520400;1.0521400;1.0511300;1.0514600;17935
221202;034500;1.0515000;1.0515800;1.0509100;1.0513000;14450
221202;040000;1.0512700;1.0513500;1.0504700;1.0510100;18627
221202;041500;1.0509300;1.0514500;1.0504000;1.0509200;17040
221202;043000;1.0508700;1.0516000;1.0508000;1.0511600;17413
221202;044500;1.0511200;1.0517300;1.0507000;1.0512500;20275
221202;050000;1.0512200;1.0516700;1.0506000;1.0513100;22311
221202;051500;1.0513500;1.0516900;1.0508000;1.0511900;27268
221202;053000;1.0511900;1.0513000;1.0503000;1.0509900;19277
221202;054500;1.0509100;1.0513000;1.0506000;1.0509200;21480
221202;060000;1.0509200;1.0512900;1.0505000;1.0511500;21087
221202;061500;1.0511700;1.0516100;1.0508000;1.0515300;20992
221202;063000;1.0515900;1.0519300;1.0509000;1.0518700;17172
221202;064500;1.0518700;1.0523200;1.0517000;1.0521400;11817
221202;070000;1.0520500;1.0526400;1.0520000;1.0524300;12299
221202;071500;1.0524200;1.0526000;1.0520000;1.0521100;11943
221202;073000;1.0521100;1.0525000;1.0518000;1.0522400;13379
221202;074500;1.0522900;1.0525900;1.0519000;1.0520400;15048
221202;080000;1.0520600;1.0524000;1.0515000;1.0523300;12003
221202;081500;1.0522500;1.0528100;1.0520000;1.0527600;15196
221202;083000;1.0527700;1.0528600;1.0520000;1.0524500;14771
221202;084500;1.0524300;1.0524900;1.0516000;1.0521900;20217
221202;090000;1.0521800;1.0528000;1.0520000;1.0523100;20198
221202;091500;1.0522800;1.0528100;1.0521000;1.0527400;22026
221202;093000;1.0526000;1.0535900;1.0524000;1.0532000;22169
221202;094500;1.0533600;1.0535200;1.0527000;1.0529100;20377
221202;100000;1.0529400;1.0533300;1.0526000;1.0527600;18648
221202;101500;1.0527100;1.0533800;1.0522000;1.0528300;40711
221202;103000;1.0527900;1.0532800;1.0523000;1.0528200;39520
221202;104500;1.0528200;1.0542500;1.0525000;1.0540900;36284
221202;110000;1.0540700;1.0541400;1.0525000;1.0529400;34308
221202;111500;1.0529000;1.0530500;1.0512000;1.0520700;47349
221202;113000;1.0521200;1.0532000;1.0517000;1.0528600;39982
221202;114500;1.0528400;1.0545000;1.0523000;1.0536200;46893
221202;120000;1.0536600;1.0543700;1.0532000;1.0535600;51992
221202;121500;1.0534000;1.0540400;1.0529000;1.0534900;43048
221202;123000;1.0534700;1.0535600;1.0522000;1.0525900;39216
221202;124500;1.0526300;1.0528200;1.0518000;1.0524300;41532
221202;130000;1.0524200;1.0531600;1.0514600;1.0529500;37709
221202;131500;1.0529600;1.0530400;1.0514000;1.0518900;35800
221202;133000;1.0518600;1.0529600;1.0515000;1.0526000;24592
221202;134500;1.0526700;1.0530100;1.0522000;1.0523700;25886
221202;140000;1.0523700;1.0529800;1.0518000;1.0528000;26671
221202;141500;1.0528000;1.0535400;1.0521000;1.0533500;26423
221202;143000;1.0533200;1.0536500;1.0529000;1.0531500;23570
221202;144500;1.0531500;1.0534500;1.0528000;1.0532400;20292
221202;150000;1.0532300;1.0539400;1.0525000;1.0537100;22041
221202;151500;1.0537400;1.0537500;1.0527000;1.0531200;28581
221202;153000;1.0531500;1.0535000;1.0525000;1.0534400;25076
221202;154500;1.0534200;1.0542300;1.0529000;1.0541400;31091
221202;160000;1.0541900;1.0544700;1.0535000;1.0537700;29495
221202;161500;1.0536900;1.0541100;1.0530000;1.0537300;39703
221202;163000;1.0537200;1.0539300;1.0529000;1.0537000;44736
221202;164500;1.0534100;1.0537000;1.0433000;1.0447900;156829
221202;170000;1.0448400;1.0465100;1.0427000;1.0461500;131682
221202;171500;1.0461900;1.0473600;1.0444000;1.0471300;98632
221202;173000;1.0471200;1.0486100;1.0464000;1.0482500;80030
221202;174500;1.0481900;1.0491000;1.0471000;1.0477500;94820
221202;180000;1.0478000;1.0482700;1.0466000;1.0471100;85144
221202;181500;1.0470200;1.0479000;1.0452000;1.0470000;67265
221202;183000;1.0470500;1.0472700;1.0448000;1.0455900;56070
221202;184500;1.0455400;1.0474600;1.0448000;1.0473300;62692
221202;190000;1.0472500;1.0479700;1.0466000;1.0473100;70703
221202;191500;1.0472800;1.0486100;1.0464000;1.0483100;57866
221202;193000;1.0483000;1.0491700;1.0476000;1.0489800;42033
221202;194500;1.0490500;1.0520200;1.0488000;1.0518600;57223
221202;200000;1.0518500;1.0526100;1.0509000;1.0519000;52405
221202;201500;1.0519700;1.0534100;1.0513000;1.0532400;40675
221202;203000;1.0532300;1.0532500;1.0521000;1.0530200;40785
221202;204500;1.0529900;1.0532900;1.0523000;1.0528500;35990
221202;210000;1.0528700;1.0531800;1.0523000;1.0525200;28216
221202;211500;1.0525500;1.0530200;1.0523000;1.0529200;26057
221202;213000;1.0529100;1.0530200;1.0522000;1.0527900;20094
221202;214500;1.0527500;1.0533000;1.0524000;1.0530100;20949
221202;220000;1.0530200;1.0530400;1.0516000;1.0519100;21332
221202;221500;1.0519100;1.0519500;1.0509000;1.0514400;21753
221202;223000;1.0514200;1.0520800;1.0512000;1.0518300;18990
221202;224500;1.0518700;1.0524400;1.0513000;1.0522900;19462
221202;230000;1.0523100;1.0536800;1.0520000;1.0535900;24677
221202;231500;1.0535900;1.0540300;1.0529000;1.0538600;28474
221202;233000;1.0538300;1.0539900;1.0532000;1.0536500;23727
221202;234500;1.0536000;1.0539500;1.0531000;1.0537000;23107
221203;000000;1.0537200;1.0537700;1.0529000;1.0533200;30872
221203;001500;1.0532400;1.0537600;1.0531000;1.0535800;14042
221203;003000;1.0535800;1.0540400;1.0534000;1.0539000;10280
221203;004500;1.0539000;1.0541900;1.0535000;1.0537100;9958
221203;010000;1.0537100;1.0542500;1.0531500;1.0531500;13683
221204;214500;1.0520300;1.0520400;1.0518100;1.0520000;11
221204;220000;1.0516900;1.0516900;1.0516900;1.0516900;1
221204;221500;1.0514000;1.0525100;1.0514000;1.0525100;10
221204;223000;1.0529100;1.0529100;1.0528100;1.0528600;4
221204;224500;1.0532700;1.0532700;1.0530000;1.0530000;5
221204;230000;1.0529000;1.0529000;1.0523700;1.0526000;10
221204;231500;1.0526500;1.0528000;1.0524100;1.0527000;48
221204;233000;1.0527000;1.0531700;1.0525700;1.0531000;21
221204;234500;1.0533000;1.0533000;1.0525900;1.0527000;22
221205;000000;1.0527000;1.0527100;1.0527000;1.0527100;2
221205;001500;1.0526800;1.0526800;1.0524000;1.0526000;15
221205;003000;1.0525400;1.0527000;1.0525000;1.0525000;25
221205;004500;1.0525000;1.0526700;1.0525000;1.0526100;6
221205;010000;1.0530000;1.0530000;1.0530000;1.0530000;2
221205;011500;1.0530000;1.0537300;1.0530000;1.0535800;505
221205;013000;1.0536600;1.0538800;1.0534700;1.0535700;532
221205;014500;1.0537000;1.0540700;1.0535000;1.0537000;9790
221205;020000;1.0536000;1.0543200;1.0535000;1.0539100;8778
221205;021500;1.0539800;1.0541000;1.0530000;1.0538600;12706
221205;023000;1.0539100;1.0539100;1.0529000;1.0535900;18444
221205;024500;1.0535900;1.0539900;1.0533000;1.0538000;13911
221205;030000;1.0537000;1.0544000;1.0535000;1.0542700;13199
221205;031500;1.0542000;1.0546900;1.0538000;1.0542400;22940
221205;033000;1.0542100;1.0548000;1.0540800;1.0543100;17371
221205;034500;1.0543000;1.0546000;1.0538000;1.0544000;17300
221205;040000;1.0545600;1.0546800;1.0541000;1.0542700;19200
221205;041500;1.0541900;1.0549100;1.0540000;1.0548000;20699
221205;043000;1.0548500;1.0564800;1.0545000;1.0562100;28011
221205;044500;1.0562500;1.0574300;1.0559000;1.0572300;29949
221205;050000;1.0572900;1.0573700;1.0565000;1.0567300;22830
221205;051500;1.0567700;1.0568800;1.0560000;1.0561000;22645
221205;053000;1.0561900;1.0562900;1.0555000;1.0560900;18362
221205;054500;1.0560600;1.0566900;1.0560000;1.0566400;19395
221205;060000;1.0566300;1.0572200;1.0563000;1.0569600;17837
221205;061500;1.0570000;1.0577300;1.0565000;1.0576700;20603
221205;063000;1.0576500;1.0579600;1.0572000;1.0576800;16188
221205;064500;1.0577400;1.0583000;1.0575000;1.0581400;16342
221205;070000;1.0580600;1.0583000;1.0578000;1.0579600;15791
221205;071500;1.0580000;1.0583400;1.0577000;1.0582700;14102
221205;073000;1.0582000;1.0583000;1.0577000;1.0580600;11068
221205;074500;1.0580600;1.0581400;1.0574000;1.0580000;10679
221205;080000;1.0580000;1.0583200;1.0577000;1.0580000;12792
221205;081500;1.0581000;1.0582000;1.0577400;1.0580300;12201
221205;083000;1.0579800;1.0584400;1.0577000;1.0584000;12681
221205;084500;1.0584000;1.0585000;1.0576000;1.0578400;14755
221205;090000;1.0578500;1.0583200;1.0573000;1.0582300;22863
221205;091500;1.0582600;1.0583100;1.0571000;1.0572100;19590
221205;093000;1.0572300;1.0576100;1.0569000;1.0573500;21020
221205;094500;1.0573300;1.0576900;1.0568000;1.0571000;21480
221205;100000;1.0571300;1.0575300;1.0567000;1.0568700;20290
