<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
221201;001500;1.2055000;1.2057000;1.2042000;1.2050000;36680
221201;003000;1.2050000;1.2052000;1.2043000;1.2047000;23905
221201;004500;1.2048000;1.2057000;1.2043000;1.2054000;25446
221201;010000;1.2055000;1.2060000;1.2047000;1.2054000;15610
221201;011500;1.2055000;1.2063000;1.2049000;1.2054000;351
221201;013000;1.2053000;1.2061000;1.2050000;1.2056000;5332
221201;014500;1.2055000;1.2060000;1.2053000;1.2057000;5129
221201;020000;1.2056000;1.2061000;1.2054000;1.2056000;3704
221201;021500;1.2056000;1.2077000;1.2055000;1.2070000;16823
221201;023000;1.2071000;1.2077000;1.2064000;1.2069000;18131
221201;024500;1.2069000;1.2088000;1.2066000;1.2082000;23300
221201;030000;1.2083000;1.2084000;1.2071000;1.2075000;16508
221201;031500;1.2074000;1.2088000;1.2070000;1.2077000;30304
221201;033000;1.2076000;1.2084000;1.2072000;1.2079000;27906
221201;034500;1.2079000;1.2088000;1.2074000;1.2086000;25451
221201;040000;1.2087000;1.2103000;1.2085000;1.2101000;31512
221201;041500;1.2101000;1.2105000;1.2094000;1.2101000;41780
221201;043000;1.2101000;1.2103000;1.2087000;1.2094000;39245
221201;044500;1.2094000;1.2097000;1.2073000;1.2082000;35388
221201;050000;1.2082000;1.2089000;1.2079000;1.2082000;47088
221201;051500;1.2083000;1.2086000;1.2073000;1.2076000;44642
221201;053000;1.2076000;1.2085000;1.2070000;1.2085000;34452
221201;054500;1.2085000;1.2089000;1.2074000;1.2078000;36826
221201;060000;1.2078000;1.2082000;1.2073000;1.2078000;29452
221201;061500;1.2078000;1.2086000;1.2074000;1.2078000;28557
221201;063000;1.2078000;1.2088000;1.2074000;1.2082000;26298
221201;064500;1.2082000;1.2094000;1.2079000;1.2088000;21009
221201;070000;1.2088000;1.2091000;1.2083000;1.2089000;23880
221201;071500;1.2090000;1.2091000;1.2083000;1.2087000;25262
221201;073000;1.2087000;1.2094000;1.2084000;1.2092000;20119
221201;074500;1.2091000;1.2100000;1.2089000;1.2098000;23484
221201;080000;1.2098000;1.2102000;1.2091000;1.2096000;21295
221201;081500;1.2096000;1.2103000;1.2092000;1.2103000;27412
221201;083000;1.2103000;1.2108000;1.2095000;1.2097000;41792
221201;084500;1.2097000;1.2108000;1.2093000;1.2105000;39419
221201;090000;1.2105000;1.2107000;1.2093000;1.2102000;30672
221201;091500;1.2101000;1.2102000;1.2089000;1.2093000;31724
221201;093000;1.2093000;1.2101000;1.2089000;1.2095000;30070
221201;094500;1.2094000;1.2107000;1.2091000;1.2103000;27863
221201;100000;1.2103000;1.2115000;1.2097000;1.2114000;38690
221201;101500;1.2114000;1.2119000;1.2093000;1.2098000;53421
221201;103000;1.2098000;1.2115000;1.2089000;1.2096000;49915
221201;104500;1.2095000;1.2098000;1.2079000;1.2088000;48768
221201;110000;1.2088000;1.2097000;1.2067000;1.2074000;73375
221201;111500;1.2074000;1.2099000;1.2073000;1.2097000;78771
221201;113000;1.2096000;1.2102000;1.2082000;1.2087000;52327
221201;114500;1.2086000;1.2116000;1.2084000;1.2113000;51951
221201;120000;1.2113000;1.2126000;1.2104000;1.2123000;50680
221201;121500;1.2123000;1.2127000;1.2106000;1.2120000;47975
221201;123000;1.2119000;1.2134000;1.2117000;1.2127000;48210
221201;124500;1.2126000;1.2135000;1.2120000;1.2129000;45205
221201;130000;1.2128000;1.2151000;1.2126000;1.2149000;52169
221201;131500;1.2150000;1.2155000;1.2134000;1.2139000;50331
221201;133000;1.2139000;1.2151000;1.2133000;1.2144000;43499
221201;134500;1.2144000;1.2148000;1.2132000;1.2138000;34130
221201;140000;1.2139000;1.2157000;1.2133000;1.2142000;48101
221201;141500;1.2142000;1.2154000;1.2136000;1.2142000;44162
221201;143000;1.2143000;1.2151000;1.2136000;1.2151000;38703
221201;144500;1.2150000;1.2163000;1.2147000;1.2159000;44170
221201;150000;1.2160000;1.2166000;1.2151000;1.2164000;36885
221201;151500;1.2164000;1.2189000;1.2160000;1.2181000;42425
221201;153000;1.2180000;1.2186000;1.2175000;1.2185000;39796
221201;154500;1.2185000;1.2201000;1.2181000;1.2199000;45937
221201;160000;1.2199000;1.2202000;1.2181000;1.2185000;50758
221201;161500;1.2185000;1.2196000;1.2177000;1.2195000;50224
221201;163000;1.2196000;1.2214000;1.2189000;1.2202000;58078
221201;164500;1.2202000;1.2242000;1.2191000;1.2227000;97847
221201;170000;1.2227000;1.2228000;1.2198000;1.2214000;80161
221201;171500;1.2214000;1.2242000;1.2206000;1.2241000;73205
