<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
230425;180000;0.0074680;0.0074695;0.0074660;0.0074687;12
230425;181500;0.0074693;0.0074707;0.0074630;0.0074642;45
230425;183000;0.0074646;0.0074646;0.0074600;0.0074644;45
230425;184500;0.0074646;0.0074676;0.0074620;0.0074661;45
230425;190000;0.0074667;0.0074669;0.0074630;0.0074633;44
230425;191500;0.0074634;0.0074666;0.0074610;0.0074666;45
230425;193000;0.0074660;0.0074664;0.0074630;0.0074651;45
230425;194500;0.0074657;0.0074679;0.0074610;0.0074638;45
230425;200000;0.0074638;0.0074709;0.0074630;0.0074709;45
230425;201500;0.0074702;0.0074752;0.0074690;0.0074752;45
230425;203000;0.0074754;0.0074825;0.0074750;0.0074811;45
230425;204500;0.0074820;0.0074835;0.0074780;0.0074834;45
230425;210000;0.0074835;0.0074855;0.0074820;0.0074840;44
230425;211500;0.0074854;0.0074951;0.0074840;0.0074940;45
230425;213000;0.0074964;0.0074967;0.0074900;0.0074910;45
230425;214500;0.0074914;0.0074914;0.0074870;0.0074880;45
230425;220000;0.0074888;0.0074888;0.0074830;0.0074850;45
230425;221500;0.0074846;0.0074860;0.0074830;0.0074830;45
230425;223000;0.0074841;0.0074846;0.0074820;0.0074830;43
230425;224500;0.0074849;0.0074914;0.0074840;0.0074900;45
230425;230000;0.0074917;0.0074927;0.0074870;0.0074880;45
230425;231500;0.0074895;0.0074895;0.0074800;0.0074800;45
230425;233000;0.0074803;0.0074807;0.0074760;0.0074780;43
230425;234500;0.0074792;0.0074792;0.0074760;0.0074770;45
230426;000000;0.0074778;0.0074782;0.0074750;0.0074770;44
230426;001500;0.0074750;0.0074770;0.0074623;0.0074710;37
230426;003000;0.0074706;0.0074770;0.0074689;0.0074770;42
230426;004500;0.0074740;0.0074780;0.0074703;0.0074740;44
230426;010000;0.0074703;0.0074760;0.0074701;0.0074750;37
230426;011500;0.0074750;0.0074753;0.0074672;0.0074740;45
