,High,Low
2022-12-01,1.05341,1.03906
2022-12-02,1.0545,1.0427
2022-12-03,1.05425,1.0529
2022-12-04,1.0533,1.0514
2022-12-05,1.05951,1.0478
2022-12-06,1.05329,1.0457
2022-12-07,1.05498,1.0441
2022-12-08,1.05649,1.0488
2022-12-09,1.05882,1.05
2022-12-10,1.05372,1.0527
2022-12-11,1.0531,1.0525
2022-12-12,1.05802,1.0504
2022-12-13,1.06733,1.0526
2022-12-14,1.06953,1.06175
2022-12-15,1.07364,1.0591
2022-12-16,1.06633,1.0593
2022-12-17,1.0603,1.05805
2022-12-18,1.0599,1.0582
2022-12-19,1.0658,1.0574
2022-12-20,1.06586,1.0577
2022-12-21,1.06457,1.0589
2022-12-22,1.06596,1.0572
2022-12-23,1.0633,1.0585
2022-12-24,1.062,1.061
2022-12-25,1.0614,1.0614
2022-12-26,1.06344,1.05963
2022-12-27,1.06694,1.061
2022-12-28,1.06745,1.0608
2022-12-29,1.06916,1.0605
2022-12-30,1.07132,1.0637
2022-12-31,1.07086,1.06952
2023-01-01,1.0702,1.0702
2023-01-02,1.07087,1.06488
2023-01-03,1.06836,1.0517
2023-01-04,1.06355,1.0539
2023-01-05,1.06315,1.0513
2023-01-06,1.06482,1.04805
2023-01-07,1.06474,1.06407
2023-01-08,1.0644,1.06398
2023-01-09,1.07606,1.0634
2023-01-10,1.07595,1.071
2023-01-11,1.07775,1.0724
2023-01-12,1.0867,1.07281
2023-01-13,1.0868,1.0779
2023-01-14,1.08358,1.0827
2023-01-16,1.08742,1.08
2023-01-17,1.08699,1.0773
2023-01-18,1.08874,1.0765
2023-01-19,1.08402,1.0781
2023-01-20,1.0859,1.0801
2023-01-21,1.08581,1.0853
2023-01-22,1.0863,1.08519
2023-01-23,1.09268,1.0844
2023-01-24,1.08981,1.0833
2023-01-25,1.09238,1.0856
2023-01-26,1.09295,1.0849
2023-01-27,1.09004,1.0836
2023-01-28,1.087,1.0862
2023-01-29,1.0873,1.08628
2023-01-30,1.09138,1.0837
2023-01-31,1.0875,1.08
2023-02-01,1.10011,1.085
2023-02-02,1.1033,1.08845
2023-02-03,1.09402,1.0794
2023-02-04,1.0801,1.0791
2023-02-05,1.0791,1.07835
2023-02-06,1.0799,1.0708
2023-02-07,1.07665,1.0667
2023-02-08,1.07607,1.0708
2023-02-09,1.07908,1.07065
2023-02-10,1.07527,1.0665
2023-02-11,1.0681,1.0672
2023-02-12,1.0678,1.06704
2023-02-13,1.073,1.0654
2023-02-14,1.08047,1.07059
2023-02-15,1.07445,1.0659
2023-02-16,1.07225,1.0653
2023-02-17,1.06984,1.0611
2023-02-18,1.0698,1.0691
2023-02-19,1.06886,1.068
2023-02-20,1.07047,1.0669
2023-02-21,1.06982,1.0636
2023-02-22,1.0664,1.0598
2023-02-23,1.06278,1.0576
2023-02-24,1.06143,1.0535
2023-02-25,1.05505,1.05415
2023-02-26,1.0552,1.05397
2023-02-27,1.06199,1.0531
2023-02-28,1.06453,1.0578
