,neg_pos_volume_summary,candle_LZ,cumsum,cumsum_%_50_000,cumsum_%_TrueFalse
2022-12-01 00:15:00,neg,-30033.94643789209,-30033.94643789209,19966.05356210791,False
2022-12-01 00:30:00,neg,-13823.200051893333,-43857.146489785424,6142.853510214576,True
2022-12-01 00:45:00,neg,-10177.173045879881,-54034.3195356653,45965.6804643347,False
2022-12-01 01:00:00,neg,-7379.783047283652,-61414.10258294895,38585.89741705105,False
2022-12-01 01:15:00,neg,-4334.364253721354,-65748.46683667031,34251.53316332969,False
2022-12-01 01:30:00,neg,-7835.20757262092,-73583.67440929123,26416.325590708773,False
2022-12-01 01:45:00,neg,-4310.1641077555705,-77893.8385170468,22106.161482953205,False
2022-12-01 02:00:00,neg,-5865.582703171696,-83759.42122021849,16240.578779781514,False
2022-12-01 11:00:00,neg,-22672.783870106243,-106432.20509032473,43567.79490967527,False
2022-12-01 11:15:00,neg,-37403.152386785216,-143835.35747710994,6164.6425228900625,True
2022-12-01 11:30:00,neg,-11457.785068302484,-155293.1425454124,44706.85745458759,False
2022-12-02 17:00:00,neg,-45315.35446409987,-200608.49700951227,49391.50299048773,False
2022-12-03 00:00:00,neg,-5322.940551667426,-205931.4375611797,44068.562438820314,False
2022-12-04 22:15:00,neg,-1.901829946621666,-205933.3393911263,44066.6606088737,False
2022-12-05 20:00:00,neg,-3436.4846060566983,-209369.823997183,40630.176002816996,False
2022-12-05 20:15:00,neg,-9447.970472121007,-218817.794469304,31182.205530695996,False
2022-12-05 21:00:00,neg,-28.897487279001197,-218846.691956583,31153.308043416997,False
2022-12-05 22:15:00,neg,-25.075754235986793,-218871.767710819,31128.232289181004,False
2022-12-05 22:30:00,neg,-9975.778578711077,-228847.54628953006,21152.45371046994,False
2022-12-05 22:45:00,neg,-20963.1956942972,-249810.74198382726,189.25801617273828,True
2022-12-05 23:00:00,neg,-19809.289648080343,-269620.0316319076,30379.968368092377,False
2022-12-05 23:15:00,neg,-3503.3734500779774,-273123.4050819856,26876.594918014423,False
2022-12-05 23:30:00,neg,-19567.448853609993,-292690.85393559554,7309.146064404456,False
2022-12-05 23:45:00,neg,-31223.95578664905,-323914.8097222446,26085.190277755377,False
2022-12-06 21:30:00,neg,-6605.535416354636,-330520.3451385993,19479.65486140072,False
2022-12-06 21:45:00,neg,-4971.9361451811,-335492.2812837804,14507.718716219591,False
2022-12-06 22:00:00,neg,-8352.646887380179,-343844.9281711606,6155.071828839427,True
2022-12-06 22:15:00,neg,-20547.695793833238,-364392.6239649938,35607.37603500619,False
